act,scene,character,line,word_count,neg,neu,pos,compound
1.0,1.0,HORATIO,"In what particular thought to work I know not, But in the gross and scope of mine opinion This bodes some strange eruption to our state. MARCELLUS Good now, sit down, and tell me, he that knows, Why this same strict and most observant watch So nightly toils the subject of the land, And why such daily cast of brazen cannon And foreign mart for implements of war, Why such impress of shipwrights, whose sore task Does not divide the Sunday from the week. What might be toward that this sweaty haste Doth make the night joint laborer with the day? Who is 't that can inform me?",108,0.123,0.814,0.062,-0.8229
1.0,1.0,HORATIO,"That can I. At least the whisper goes so: our last king, Whose image even but now appeared to us, Was, as you know, by Fortinbras of Norway, Thereto pricked on by a most emulate pride, Dared to the combat; in which our valiant Hamlet (For so this side of our known world esteemed him) Did slay this Fortinbras, who by a sealed compact, Well ratified by law and heraldry, Did forfeit, with his life, all those his lands Which he stood seized of, to the conqueror. Against the which a moiety competent Was gaged by our king, which had returned To the inheritance of Fortinbras Had he been vanquisher, as, by the same comart And carriage of the article designed, His fell to Hamlet. Now, sir, young Fortinbras, Of unimproved mettle hot and full, Hath in the skirts of Norway here and there Sharked up a list of lawless resolutes For food and diet to some enterprise That hath a stomach in 't; which is no other (As it doth well appear unto our state) But to recover of us, by strong hand And terms compulsatory, those foresaid lands So by his father lost. And this, I take it, Is the main motive of our preparations, The source of this our watch, and the chief head Of this posthaste and rummage in the land. BARNARDO I think it be no other but e'en so. Well may it sort that this portentous figure Comes armed through our watch so like the king That was and is the question of these wars.",261,0.064,0.821,0.115,0.9416
1.0,1.0,HORATIO,"A mote it is to trouble the mind's eye. In the most high and palmy state of Rome, A little ere the mightiest Julius fell, The graves stood tenantless, and the sheeted dead Did squeak and gibber in the Roman streets; As stars with trains of fire and dews of blood, Disasters in the sun; and the moist star, Upon whose influence Neptune's empire stands, Was sick almost to doomsday with eclipse. And even the like precurse of feared events, As harbingers preceding still the fates And prologue to the omen coming on, Have heaven and Earth together demonstrated Unto our climatures and countrymen. But soft, behold! Lo, where it comes again! I'll cross it though it blast me.--Stay, illusion! If thou hast any sound or use of voice, Speak to me. If there be any good thing to be done That may to thee do ease and grace to me, Speak to me. If thou art privy to thy country's fate, Which happily foreknowing may avoid, O, speak! Or if thou hast uphoarded in thy life Extorted treasure in the womb of earth, For which, they say, you spirits oft walk in death, Speak of it. Stay and speak!--Stop it, Marcellus. MARCELLUS Shall I strike it with my partisan?",210,0.116,0.791,0.094,-0.3135
1.0,1.0,HORATIO,"Do, if it will not stand. BARNARDO  'Tis here.",9,0.0,1.0,0.0,0.0
1.0,1.0,HORATIO,"'Tis here. MARCELLUS  'Tis gone. We do it wrong, being so majestical, To offer it the show of violence, For it is as the air, invulnerable, And our vain blows malicious mockery. BARNARDO It was about to speak when the cock crew.",42,0.266,0.69,0.044,-0.891
1.0,1.0,HORATIO,"And then it started like a guilty thing Upon a fearful summons. I have heard The cock, that is the trumpet to the morn, Doth with his lofty and shrill-sounding throat Awake the god of day, and at his warning, Whether in sea or fire, in earth or air, Th' extravagant and erring spirit hies To his confine, and of the truth herein This present object made probation. MARCELLUS It faded on the crowing of the cock. Some say that ever 'gainst that season comes Wherein our Savior's birth is celebrated, This bird of dawning singeth all night long; And then, they say, no spirit dare stir abroad, The nights are wholesome; then no planets strike, No fairy takes, nor witch hath power to charm, So hallowed and so gracious is that time.",133,0.141,0.709,0.15,0.5149
1.0,2.0,HORATIO,"So have I heard and do in part believe it. But look, the morn in russet mantle clad Walks o'er the dew of yon high eastward hill. Break we our watch up, and by my advice Let us impart what we have seen tonight Unto young Hamlet; for, upon my life, This spirit, dumb to us, will speak to him. Do you consent we shall acquaint him with it As needful in our loves, fitting our duty? MARCELLUS Let's do 't, I pray, and I this morning know Where we shall find him most convenient. =======",96,0.042,0.839,0.118,0.7876
1.0,2.0,LAERTES,"That shall not be my offer, not thy asking? The head is not more native to the heart, The hand more instrumental to the mouth, Than is the throne of Denmark to thy father. What wouldst thou have, Laertes?",39,0.0,0.914,0.086,0.5514
1.0,2.0,LAERTES,"My dread lord, Your leave and favor to return to France, From whence though willingly I came to Denmark To show my duty in your coronation, Yet now I must confess, that duty done, My thoughts and wishes bend again toward France And bow them to your gracious leave and pardon.",51,0.094,0.729,0.177,0.7003
1.0,2.0,POLONIUS,"Hath, my lord, wrung from me my slow leave By laborsome petition, and at last Upon his will I sealed my hard consent. I do beseech you give him leave to go.",32,0.12,0.82,0.06,0.0258
1.0,2.0,HAMLET,A little more than kin and less than kind.,9,0.0,0.692,0.308,0.4804
1.0,2.0,HAMLET,"Not so, my lord; I am too much in the sun.",11,0.0,1.0,0.0,0.0
1.0,2.0,HAMLET,"Ay, madam, it is common.",5,0.0,1.0,0.0,0.0
1.0,2.0,HAMLET,"""Seems,"" madam? Nay, it is. I know not ""seems."" 'Tis not alone my inky cloak, good mother, Nor customary suits of solemn black, Nor windy suspiration of forced breath, No, nor the fruitful river in the eye, Nor the dejected havior of the visage, Together with all forms, moods, shapes of grief, That can denote me truly. These indeed ""seem,"" For they are actions that a man might play; But I have that within which passes show, These but the trappings and the suits of woe.",86,0.114,0.791,0.095,-0.4149
1.0,2.0,HAMLET,"To give these mourning duties to your father. But you must know your father lost a father, That father lost, lost his, and the survivor bound In filial obligation for some term To do obsequious sorrow. But to persever In obstinate condolement is a course Of impious stubbornness. 'Tis unmanly grief. It shows a will most incorrect to heaven, A heart unfortified, a mind impatient, An understanding simple and unschooled. For what we know must be and is as common As any the most vulgar thing to sense, Why should we in our peevish opposition Take it to heart? Fie, 'tis a fault to heaven, A fault against the dead, a fault to nature, To reason most absurd, whose common theme Is death of fathers, and who still hath cried, From the first corse till he that died today, ""This must be so."" We pray you, throw to earth This unprevailing woe and think of us As of a father; for let the world take note, You are the most immediate to our throne, And with no less nobility of love Than that which dearest father bears his son Do I impart toward you. For your intent In going back to school in Wittenberg, It is most retrograde to our desire, And we beseech you, bend you to remain Here in the cheer and comfort of our eye, Our chiefest courtier, cousin, and our son.",235,0.216,0.66,0.125,-0.9782
1.0,2.0,HAMLET,"I shall in all my best obey you, madam.",9,0.0,0.625,0.375,0.6369
1.0,2.0,HAMLET,"O, that this too, too sullied flesh would melt, Thaw, and resolve itself into a dew, Or that the Everlasting had not fixed His canon 'gainst self-slaughter! O God, God, How weary, stale, flat, and unprofitable Seem to me all the uses of this world! Fie on 't, ah fie! 'Tis an unweeded garden That grows to seed. Things rank and gross in nature Possess it merely. That it should come to this: But two months dead--nay, not so much, not two. So excellent a king, that was to this Hyperion to a satyr; so loving to my mother That he might not beteem the winds of heaven Visit her face too roughly. Heaven and Earth, Must I remember? Why, she would hang on him As if increase of appetite had grown By what it fed on. And yet, within a month (Let me not think on 't; frailty, thy name is woman!), A little month, or ere those shoes were old With which she followed my poor father's body, Like Niobe, all tears--why she, even she (O God, a beast that wants discourse of reason Would have mourned longer!), married with my uncle, My father's brother, but no more like my father Than I to Hercules. Within a month, Ere yet the salt of most unrighteous tears Had left the flushing in her galled eyes, She married. O, most wicked speed, to post With such dexterity to incestuous sheets! It is not, nor it cannot come to good. But break, my heart, for I must hold my tongue.",259,0.098,0.784,0.118,0.7754
1.0,2.0,HORATIO,Hail to your Lordship.,4,0.0,0.698,0.302,0.0772
1.0,2.0,HAMLET,I am glad to see you well. Horatio--or I do forget myself!,12,0.133,0.49,0.377,0.5411
1.0,2.0,HORATIO,"The same, my lord, and your poor servant ever.",9,0.279,0.721,0.0,-0.4767
1.0,2.0,HAMLET,"Sir, my good friend. I'll change that name with you. And what make you from Wittenberg, Horatio?-- Marcellus? MARCELLUS  My good lord.",22,0.0,0.67,0.33,0.8541
1.0,2.0,HAMLET,"I am very glad to see you.  Good even, sir.-- But what, in faith, make you from Wittenberg?",18,0.0,0.642,0.358,0.778
1.0,2.0,HORATIO,"A truant disposition, good my lord.",6,0.0,0.58,0.42,0.4404
1.0,2.0,HAMLET,"I would not hear your enemy say so, Nor shall you do my ear that violence To make it truster of your own report Against yourself. I know you are no truant. But what is your affair in Elsinore? We'll teach you to drink deep ere you depart.",48,0.083,0.84,0.077,-0.0708
1.0,2.0,HORATIO,"My lord, I came to see your father's funeral.",9,0.263,0.737,0.0,-0.3612
1.0,2.0,HAMLET,"I prithee, do not mock me, fellow student. I think it was to see my mother's wedding.",17,0.0,0.857,0.143,0.3252
1.0,2.0,HORATIO,"Indeed, my lord, it followed hard upon.",7,0.189,0.811,0.0,-0.1027
1.0,2.0,HAMLET,"Thrift, thrift, Horatio. The funeral baked meats Did coldly furnish forth the marriage tables. Would I had met my dearest foe in heaven Or ever I had seen that day, Horatio! My father--methinks I see my father.",37,0.127,0.704,0.169,0.4199
1.0,2.0,HORATIO,"Where, my lord?",3,0.0,1.0,0.0,0.0
1.0,2.0,HAMLET,"In my mind's eye, Horatio.",5,0.0,1.0,0.0,0.0
1.0,2.0,HORATIO,I saw him once. He was a goodly king.,9,0.0,1.0,0.0,0.0
1.0,2.0,HAMLET,"He was a man. Take him for all in all, I shall not look upon his like again.",18,0.0,0.857,0.143,0.3612
1.0,2.0,HORATIO,"My lord, I think I saw him yesternight.",8,0.0,1.0,0.0,0.0
1.0,2.0,HAMLET,Saw who?,2,0.0,1.0,0.0,0.0
1.0,2.0,HORATIO,"My lord, the King your father.",6,0.0,1.0,0.0,0.0
1.0,2.0,HAMLET,The King my father?,4,0.0,1.0,0.0,0.0
1.0,2.0,HORATIO,"Season your admiration for a while With an attent ear, till I may deliver Upon the witness of these gentlemen This marvel to you.",24,0.0,0.76,0.24,0.743
1.0,2.0,HAMLET,"For God's love, let me hear!",6,0.0,0.527,0.473,0.6696
1.0,2.0,HORATIO,"Two nights together had these gentlemen, Marcellus and Barnardo, on their watch, In the dead waste and middle of the night, Been thus encountered: a figure like your father, Armed at point exactly, cap-a-pie, Appears before them and with solemn march Goes slow and stately by them. Thrice he walked By their oppressed and fear-surprised eyes Within his truncheon's length, whilst they, distilled Almost to jelly with the act of fear, Stand dumb and speak not to him. This to me In dreadful secrecy impart they did, And I with them the third night kept the watch, Where, as they had delivered, both in time, Form of the thing (each word made true and good), The apparition comes. I knew your father; These hands are not more like.",128,0.145,0.8,0.054,-0.9201
1.0,2.0,HAMLET,"But where was this? MARCELLUS My lord, upon the platform where we watch.",13,0.0,1.0,0.0,0.0
1.0,2.0,HAMLET,Did you not speak to it?,6,0.0,1.0,0.0,0.0
1.0,2.0,HORATIO,"My lord, I did, But answer made it none. Yet once methought It lifted up its head and did address Itself to motion, like as it would speak; But even then the morning cock crew loud, And at the sound it shrunk in haste away And vanished from our sight.",50,0.036,0.901,0.062,0.3291
1.0,2.0,HAMLET,'Tis very strange.,3,0.511,0.489,0.0,-0.2716
1.0,2.0,HORATIO,"As I do live, my honored lord, 'tis true. And we did think it writ down in our duty To let you know of it.",25,0.0,0.769,0.231,0.765
1.0,2.0,HAMLET,"Indeed, sirs, but this troubles me. Hold you the watch tonight? ALL  We do, my lord.",16,0.241,0.759,0.0,-0.6956
1.0,2.0,HAMLET,"Armed, say you? ALL  Armed, my lord.",7,0.0,1.0,0.0,0.0
1.0,2.0,HAMLET,"From top to toe? ALL  My lord, from head to foot.",11,0.0,0.847,0.153,0.2023
1.0,2.0,HAMLET,Then saw you not his face?,6,0.0,1.0,0.0,0.0
1.0,2.0,HORATIO,"O, yes, my lord, he wore his beaver up.",9,0.0,0.748,0.252,0.4019
1.0,2.0,HAMLET,"What, looked he frowningly?",4,0.0,1.0,0.0,0.0
1.0,2.0,HORATIO,A countenance more in sorrow than in anger.,8,0.596,0.404,0.0,-0.8115
1.0,2.0,HAMLET,Pale or red?,3,0.0,1.0,0.0,0.0
1.0,2.0,HORATIO,"Nay, very pale.",3,0.0,1.0,0.0,0.0
1.0,2.0,HAMLET,And fixed his eyes upon you?,6,0.0,1.0,0.0,0.0
1.0,2.0,HORATIO,Most constantly.,2,0.0,1.0,0.0,0.0
1.0,2.0,HAMLET,I would I had been there.,6,0.0,1.0,0.0,0.0
1.0,2.0,HORATIO,It would have much amazed you.,6,0.0,0.61,0.39,0.4939
1.0,2.0,HAMLET,Very like. Stayed it long?,5,0.0,0.589,0.411,0.4201
1.0,2.0,HORATIO,"While one with moderate haste might tell a hundred. BARNARDO/MARCELLUS  Longer, longer.",12,0.0,1.0,0.0,0.0
1.0,2.0,HORATIO,Not when I saw 't.,5,0.0,1.0,0.0,0.0
1.0,2.0,HAMLET,"His beard was grizzled, no?",5,0.355,0.645,0.0,-0.296
1.0,2.0,HORATIO,"It was as I have seen it in his life, A sable silvered.",13,0.0,1.0,0.0,0.0
1.0,2.0,HAMLET,I will watch tonight. Perchance 'twill walk again.,8,0.0,1.0,0.0,0.0
1.0,2.0,HORATIO,I warrant it will.,4,0.0,1.0,0.0,0.0
1.0,2.0,HAMLET,"If it assume my noble father's person, I'll speak to it, though hell itself should gape And bid me hold my peace. I pray you all, If you have hitherto concealed this sight, Let it be tenable in your silence still; And whatsomever else shall hap tonight, Give it an understanding but no tongue. I will requite your loves. So fare you well. Upon the platform, 'twixt eleven and twelve, I'll visit you. ALL  Our duty to your Honor.",79,0.06,0.743,0.197,0.9135
1.0,3.0,HAMLET,"Your loves, as mine to you. Farewell. My father's spirit--in arms! All is not well. I doubt some foul play. Would the night were come! Till then, sit still, my soul. Foul deeds will rise, Though all the earth o'erwhelm them, to men's eyes. =======",45,0.036,0.79,0.174,0.7894
1.0,3.0,LAERTES,"My necessaries are embarked. Farewell. And, sister, as the winds give benefit And convey is assistant, do not sleep, But let me hear from you.",25,0.0,0.923,0.077,0.25
1.0,3.0,OPHELIA,Do you doubt that?,4,0.455,0.545,0.0,-0.3612
1.0,3.0,LAERTES,"For Hamlet, and the trifling of his favor, Hold it a fashion and a toy in blood, A violet in the youth of primy nature, Forward, not permanent, sweet, not lasting, The perfume and suppliance of a minute, No more.",40,0.116,0.817,0.067,-0.2453
1.0,3.0,OPHELIA,No more but so?,4,0.348,0.652,0.0,-0.1531
1.0,3.0,LAERTES,"Think it no more. For nature, crescent, does not grow alone In thews and bulk, but, as this temple waxes, The inward service of the mind and soul Grows wide withal. Perhaps he loves you now, And now no soil nor cautel doth besmirch The virtue of his will; but you must fear, His greatness weighed, his will is not his own, For he himself is subject to his birth. He may not, as unvalued persons do, Carve for himself, for on his choice depends The safety and the health of this whole state. And therefore must his choice be circumscribed Unto the voice and yielding of that body Whereof he is the head. Then, if he says he loves you, It fits your wisdom so far to believe it As he in his particular act and place May give his saying deed, which is no further Than the main voice of Denmark goes withal. Then weigh what loss your honor may sustain If with too credent ear you list his songs Or lose your heart or your chaste treasure open To his unmastered importunity. Fear it, Ophelia; fear it, my dear sister, And keep you in the rear of your affection, Out of the shot and danger of desire. The chariest maid is prodigal enough If she unmask her beauty to the moon. Virtue itself 'scapes not calumnious strokes. The canker galls the infants of the spring Too oft before their buttons be disclosed, And, in the morn and liquid dew of youth, Contagious blastments are most imminent. Be wary, then; best safety lies in fear. Youth to itself rebels, though none else near.",275,0.126,0.702,0.172,0.9639
1.0,3.0,OPHELIA,"I shall the effect of this good lesson keep As watchman to my heart. But, good my brother, Do not, as some ungracious pastors do, Show me the steep and thorny way to heaven, Whiles, like a puffed and reckless libertine, Himself the primrose path of dalliance treads And recks not his own rede.",54,0.126,0.662,0.212,0.7845
1.0,3.0,LAERTES,"O, fear me not. I stay too long. But here my father comes. A double blessing is a double grace. Occasion smiles upon a second leave.",26,0.104,0.522,0.373,0.8945
1.0,3.0,POLONIUS,"Yet here, Laertes? Aboard, aboard, for shame! The wind sits in the shoulder of your sail, And you are stayed for. There, my blessing with thee. And these few precepts in thy memory Look thou character. Give thy thoughts no tongue, Nor any unproportioned thought his act. Be thou familiar, but by no means vulgar. Those friends thou hast, and their adoption tried, Grapple them unto thy soul with hoops of steel, But do not dull thy palm with entertainment Of each new-hatched, unfledged courage. Beware Of entrance to a quarrel, but, being in, Bear 't that th' opposed may beware of thee. Give every man thy ear, but few thy voice. Take each man's censure, but reserve thy judgment. Costly thy habit as thy purse can buy, But not expressed in fancy (rich, not gaudy), For the apparel oft proclaims the man, And they in France of the best rank and station Are of a most select and generous chief in that. Neither a borrower nor a lender be, For loan oft loses both itself and friend, And borrowing dulls the edge of husbandry. This above all: to thine own self be true, And it must follow, as the night the day, Thou canst not then be false to any man. Farewell. My blessing season this in thee.",219,0.053,0.779,0.168,0.9861
1.0,3.0,LAERTES,"Most humbly do I take my leave, my lord.",9,0.146,0.854,0.0,-0.0516
1.0,3.0,POLONIUS,"The time invests you. Go, your servants tend.",8,0.0,1.0,0.0,0.0
1.0,3.0,LAERTES,"Farewell, Ophelia, and remember well What I have said to you.",11,0.0,0.811,0.189,0.2732
1.0,3.0,OPHELIA,"'Tis in my memory locked, And you yourself shall keep the key of it.",14,0.0,1.0,0.0,0.0
1.0,3.0,LAERTES,Farewell.,1,0.0,1.0,0.0,0.0
1.0,3.0,POLONIUS,"What is 't, Ophelia, he hath said to you?",9,0.0,1.0,0.0,0.0
1.0,3.0,OPHELIA,"So please you, something touching the Lord",7,0.0,0.698,0.302,0.3804
1.0,3.0,POLONIUS,"Marry, well bethought. 'Tis told me he hath very oft of late Given private time to you, and you yourself Have of your audience been most free and bounteous. If it be so (as so 'tis put on me, And that in way of caution), I must tell you You do not understand yourself so clearly As it behooves my daughter and your honor. What is between you? Give me up the truth.",73,0.0,0.82,0.18,0.9285
1.0,3.0,OPHELIA,"He hath, my lord, of late made many tenders Of his affection to me.",14,0.0,0.706,0.294,0.6124
1.0,3.0,POLONIUS,"Affection, puh! You speak like a green girl Unsifted in such perilous circumstance. Do you believe his ""tenders,"" as you call them?",22,0.0,0.754,0.246,0.7345
1.0,3.0,OPHELIA,"I do not know, my lord, what I should think.",10,0.0,1.0,0.0,0.0
1.0,3.0,POLONIUS,"Marry, I will teach you. Think yourself a baby That you have ta'en these tenders for true pay, Which are not sterling. Tender yourself more dearly, Or (not to crack the wind of the poor phrase, Running it thus) you'll tender me a fool.",44,0.148,0.702,0.15,0.024
1.0,3.0,OPHELIA,"My lord, he hath importuned me with love In honorable fashion--",11,0.0,0.539,0.461,0.8271
1.0,3.0,POLONIUS,"Ay, ""fashion"" you may call it. Go to, go to!",10,0.0,1.0,0.0,0.0
1.0,3.0,OPHELIA,"And hath given countenance to his speech, my lord, With almost all the holy vows of heaven.",17,0.0,0.829,0.171,0.5106
1.0,3.0,POLONIUS,"Ay, springes to catch woodcocks. I do know, When the blood burns, how prodigal the soul Lends the tongue vows. These blazes, daughter, Giving more light than heat, extinct in both Even in their promise as it is a-making, You must not take for fire. From this time Be something scanter of your maiden presence. Set your entreatments at a higher rate Than a command to parle. For Lord Hamlet, Believe so much in him that he is young, And with a larger tether may he walk Than may be given you. In few, Ophelia, Do not believe his vows, for they are brokers, Not of that dye which their investments show, But mere implorators of unholy suits, Breathing like sanctified and pious bawds The better to beguile. This is for all: I would not, in plain terms, from this time forth Have you so slander any moment leisure As to give words or talk with the Lord Hamlet. Look to 't, I charge you. Come your ways.",168,0.0,0.929,0.071,0.8741
1.0,4.0,OPHELIA,"I shall obey, my lord. =======",6,0.0,1.0,0.0,0.0
1.0,4.0,HAMLET,The air bites shrewdly; it is very cold.,8,0.0,1.0,0.0,0.0
1.0,4.0,HORATIO,It is a nipping and an eager air.,8,0.0,0.706,0.294,0.3612
1.0,4.0,HAMLET,What hour now?,3,0.0,1.0,0.0,0.0
1.0,4.0,HORATIO,"I think it lacks of twelve. MARCELLUS  No, it is struck.",11,0.344,0.656,0.0,-0.4939
1.0,4.0,HORATIO,"Indeed, I heard it not. It then draws near the season Wherein the spirit held his wont to walk. What does this mean, my lord?",25,0.0,0.931,0.069,0.1779
1.0,4.0,HAMLET,"The King doth wake tonight and takes his rouse, Keeps wassail, and the swagg'ring upspring reels; And, as he drains his draughts of Rhenish down, The kettledrum and trumpet thus bray out The triumph of his pledge.",37,0.0,0.921,0.079,0.4767
1.0,4.0,HORATIO,Is it a custom?,4,0.0,1.0,0.0,0.0
1.0,4.0,HAMLET,"Ay, marry, is 't, But, to my mind, though I am native here And to the manner born, it is a custom More honored in the breach than the observance. This heavy-headed revel east and west Makes us traduced and taxed of other nations. They clepe us drunkards and with swinish phrase Soil our addition. And, indeed, it takes From our achievements, though performed at height, The pith and marrow of our attribute. So oft it chances in particular men That for some vicious mole of nature in them, As in their birth (wherein they are not guilty, Since nature cannot choose his origin), By the o'ergrowth of some complexion (Oft breaking down the pales and forts of reason), Or by some habit that too much o'erleavens The form of plausive manners--that these men, Carrying, I say, the stamp of one defect, Being nature's livery or fortune's star, His virtues else, be they as pure as grace, As infinite as man may undergo, Shall in the general censure take corruption From that particular fault. The dram of evil Doth all the noble substance of a doubt To his own scandal.",190,0.105,0.793,0.101,-0.2304
1.0,4.0,HORATIO,"Look, my lord, it comes.",5,0.0,1.0,0.0,0.0
1.0,4.0,HAMLET,"Angels and ministers of grace, defend us! Be thou a spirit of health or goblin damned, Bring with thee airs from heaven or blasts from hell, Be thy intents wicked or charitable, Thou com'st in such a questionable shape That I will speak to thee. I'll call thee ""Hamlet,""",49,0.213,0.617,0.17,-0.5562
1.0,4.0,HORATIO,It beckons you to go away with it As if it some impartment did desire To you alone. MARCELLUS  Look with what courteous action It waves you to a more removed ground. But do not go with it.,38,0.038,0.861,0.101,0.3612
1.0,4.0,HORATIO,"No, by no means.",4,0.688,0.312,0.0,-0.5267
1.0,4.0,HAMLET,It will not speak. Then I will follow it.,9,0.0,1.0,0.0,0.0
1.0,4.0,HORATIO,"Do not, my lord.",4,0.0,1.0,0.0,0.0
1.0,4.0,HAMLET,"Why, what should be the fear? I do not set my life at a pin's fee. And for my soul, what can it do to that, Being a thing immortal as itself? It waves me forth again. I'll follow it.",40,0.088,0.863,0.049,-0.3736
1.0,4.0,HORATIO,"What if it tempt you toward the flood, my lord? Or to the dreadful summit of the cliff That beetles o'er his base into the sea, And there assume some other horrible form Which might deprive your sovereignty of reason And draw you into madness? Think of it. The very place puts toys of desperation, Without more motive, into every brain That looks so many fathoms to the sea And hears it roar beneath.",74,0.186,0.814,0.0,-0.9409
1.0,4.0,HAMLET,"It waves me still.--Go on, I'll follow thee. MARCELLUS You shall not go, my lord.",15,0.0,1.0,0.0,0.0
1.0,4.0,HAMLET,Hold off your hands.,4,0.0,1.0,0.0,0.0
1.0,4.0,HORATIO,Be ruled. You shall not go.,6,0.0,1.0,0.0,0.0
1.0,4.0,HAMLET,"My fate cries out And makes each petty arture in this body As hardy as the Nemean lion's nerve. Still am I called. Unhand me, gentlemen. By heaven, I'll make a ghost of him that lets me! I say, away!--Go on. I'll follow thee.",44,0.15,0.729,0.121,0.1984
1.0,4.0,HORATIO,He waxes desperate with imagination. MARCELLUS Let's follow. 'Tis not fit thus to obey him.,15,0.253,0.747,0.0,-0.5283
1.0,4.0,HORATIO,Have after. To what issue will this come? MARCELLUS Something is rotten in the state of Denmark.,17,0.171,0.829,0.0,-0.5106
1.0,5.0,HORATIO,"Heaven will direct it. MARCELLUS  Nay, let's follow him. =======",10,0.0,0.732,0.268,0.5106
1.0,5.0,HAMLET,Whither wilt thou lead me? Speak. I'll go no further. GHOST Mark me.,13,0.322,0.678,0.0,-0.6408
1.0,5.0,HAMLET,I will. GHOST  My hour is almost come When I to sulf'rous and tormenting flames Must render up myself.,19,0.159,0.841,0.0,-0.4648
